,index,Price,Year,Mileage,City,State,Vin,Make,Model
212,331767,12495,2009,85176,Hasbrouck Heights, NJ,1FBNE31L39DA27043,Ford,Econoline
213,360760,27997,2015,45537,Nashua, NH,1GKKVRKDXFJ328399,GMC,AcadiaAWD
214,462079,16312,2016,20323,Aurora, CO,KMHTC6AD5GU269201,Hyundai,VelosterManual
215,275996,13619,2011,83806,Dover, DE,2FMDK3KC2BBB50466,Ford,Edge4dr
216,198848,18941,2014,54540,Mishawaka, IN,2C4RC1BG4ER339128,Chrysler,Town
217,99001,6160,2011,86500,Peoria, AZ,KL1TD5DE3BB238718,Chevrolet,Aveo4dr
218,394021,20790,2016,13548,Anderson, IN,1HGCR2F5XGA176044,Honda,Accord
219,463305,12985,2012,29627,Pueblo, CO,KM8JU3ACXCU389922,Hyundai,TucsonFWD
220,166842,18500,2004,72361,Arlington, TX,1GCES14P74B112043,Chevrolet,SSRRegular
221,611025,20995,2008,72150,Brea, CA,WDDNG71X48A219416,Mercedes-Benz,S-Class4dr
222,503614,17950,2005,61032,Aberdeen, NC,1J4FA49S65P362135,Jeep,Wrangler2dr
223,67597,32500,2016,32185,Pueblo, CO,5GAKVBKD4GJ221922,Buick,EnclaveLeather
224,110035,13900,2012,72030,Bloomington, IL,2GNFLNE52C6204675,Chevrolet,EquinoxAWD
225,93591,13497,2016,42095,Somerset, PA,1G11C5SA5GF163483,Chevrolet,Malibu
226,103438,12000,2011,73347,Hicksville, OH,2CNFLNECXB6245993,Chevrolet,EquinoxAWD
227,86185,17233,2017,25113,Lawrenceville, GA,1G1ZE5STXHF174530,Chevrolet,MalibuLT
228,526907,14600,2015,40105,Columbia, MO,5XXGM4A77FG359598,Kia,OptimaLX
229,566235,28488,2013,27646,Mt. Juliet, TN,JTHBE1BL5D5017293,Lexus,GS
230,145914,31710,2016,15949,New Braunfels, TX,1GCRCREC8GZ157156,Chevrolet,Silverado
231,413472,20000,2014,54820,Chantilly, VA,5FNRL5H49EB125218,Honda,OdysseyEX
232,655398,16499,2016,5050,Las Vegas, NV,5N1AT2MT8GC776733,Nissan,RogueSL
233,423953,19000,2016,6760,Rome, GA,3CZRU5H59GM716972,Honda,HR-V2WD
